sku,name,price,count
TECH0002,Samsung Galaxy S23 Ultra 5G Smartphone,1199,18
COMP0003,Apple MacBook Air M2 Chip 13.6-inch Laptop,1199,32
GADG0004,Apple AirPods Pro (2nd Generation) Wireless Earbuds,249,45
ELEC0005,Sony X85K 4K HDR LED Smart Google TV (55-inch),548,20
FASH0006,Nike Air Force 1 '07 Men's Shoes,90,65
BOOK0007,Atomic Habits: An Easy & Proven Way to Build Good Habits,14,83
KITC0008,Instant Pot Duo Plus 9-in-1 Electric Pressure Cooker,119,27
BEAU0009,Olaplex No.3 Hair Perfector,28,71
TOYS0010,LEGO Star Wars: The Mandalorian The Razor Crest,129,39
SPOR0011,Callaway Mavrik Max Individual Iron,179,15
FURN0012,Zinus Joseph Modern Studio 16 Inch Metal Platform Bed Frame,189,22
HOUS0013,Dyson V8 Animal Cordless Stick Vacuum Cleaner,349,29
GAME0014,Nintendo Switch OLED Model Console,349,41
HEAL0015,Fitbit Charge 5 Advanced Fitness & Health Tracker,149,53
